geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Greece,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,7,7,7,9,31,45,46,73,73,89,99,99,190,228,331,331,387,418,418,495,530,624,695,743,821,892,966,1061,1156,1212,1314,1415,1544,1613,1673,1735,1755,1832,1884,1955,2011,2081,2114,2145,2170,2192,2207,2224,2235,2235,2245,2401,2408,2463,2490,2506,2517,2534,2566,2576,2591,2612,2620,2626,2632,2642,2663,2678,2691,2710,2716,2726,2744,2760,2770,2810,2819,2834,2836,2840,2850,2853,2874,2876,2878,2882,2892,2903,2906,2909,2915,2917,2918,2937,2937,2952,2967,2980,2997,3049,3058,3068,3088,3108,3112,3121,3134,3148,3203,3227,3237,3256,3266,3287,3302,3310,3321,3343,3366,3376,3390,3409,3432,3458,3486,3511,3519,3562,3589,3622,3672,3732,3772,3803,3826,3883,3910,3939,3964,3983,4007,4012,,,
country/region,Greece,driving,100,100.63,100.57,100.6,110.76,113.18,106.76,96.02,95.5,98.73,97.72,108.81,112.89,108.84,95.89,95.58,98.33,102.87,112.72,116.08,112.42,95.67,97.46,96.64,103.46,121.1,119.98,116.73,102.6,104.28,106.66,108.1,123.56,123.65,121.23,117.92,123.39,116.34,121.1,118.04,121.53,114.37,104.15,104.31,105.83,107.2,120.29,115.89,113.79,139.75,98.77,99.65,101.98,103.73,104.86,106.74,94.91,88.49,84.96,73.95,66.02,49.1,39.41,38.82,38.03,33.31,32.44,33.88,30.34,30.72,20.78,21.02,18.59,22.02,21.94,21.02,21.57,26.27,25.8,24.73,27,25.38,19.88,19.7,25.73,26.6,28.36,28.75,30.09,26.91,26.99,31.93,32.78,32.52,32.87,31.6,24.09,18.99,23.12,31.03,31.35,32.67,34.04,30.79,31.34,36.17,37.29,38.28,37.35,30.23,32.97,36.81,57.88,58.54,57.43,56.91,61.64,62.25,62.45,,,67.88,68.64,75.42,78.38,78.36,78.09,79.25,79.33,77.22,83.91,81.06,82.24,78.49,75.81,79.24,79.92,86.8,85.51,81.74,84.98,87.58,90.28,98.59,109.36,100.73,101.88,106.86,92.2,95.22,98.3,100.59,100.74,108,95.92,98.65,99.39,102.32,110.69,110.55,118.23,94.25,99.73,101.7,108.64,117.27,120.6,129.88,109.46,116.98,124.1,128.54,140.51,142.79,149.02,133.83,137.02,144.33,151.8,160.32,163.64,173.11,153.28,157.36
country/region,Greece,walking,100,100.5,101.91,108.84,119.88,127.75,96.49,95.3,97.66,101.94,102.57,121.64,134.75,100.5,93.13,101.26,104.46,107.8,125.02,138.69,109.39,98.14,105.77,93.43,99.78,132.73,137.33,112.88,106.25,111.08,113.07,126.92,150.06,157.11,124.49,126.22,127.66,125.98,137.67,139.05,145.35,121.81,115.7,111.79,107.21,113.48,129.68,139.7,118.77,91.9,98.65,99.79,114.1,126.03,133.12,100.1,91.15,102.25,95.05,86.04,74.54,50.63,33.98,32.14,30.5,27.43,26.74,28.3,25.9,24.36,19.06,22.32,19.32,19.58,19.62,23.65,25.96,28.28,27.69,23.12,28.03,22.87,18,18.24,23.48,24.17,28.55,30.81,34.68,37.26,38.27,36.54,36.18,33.85,37.48,41.43,35.23,31.9,35.52,34.05,32.44,37.04,41.82,44.45,43.12,42.65,43.64,41.53,43.09,42.87,41.02,40.67,53.95,55.73,53.02,53.56,56.02,54.89,47.43,,,60.85,61,61.24,54.87,49.68,65.34,65.91,68.38,64.8,71.34,67.22,56.75,69.48,63.22,70.11,70.1,78.24,82.38,64.62,71.42,80.03,81,87.38,89.78,80.55,69.68,69.71,78.36,80.3,85.42,86.95,84.23,67.53,77.63,82,83.83,87.95,91.74,89.52,69.66,76.29,88.06,86.49,92.96,100.69,95.36,79.24,88.41,95.31,101.06,112.12,118.3,111.78,98.21,118.83,127.02,128.1,134.68,141.06,136.37,122.21,147.34,155.57
country/region,Greece,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,7,8,1,5,8,-4,-5,7,5,1,2,3,0,2,22,11,-4,-3,0,-2,-4,-4,-10,-6,-6,-12,-25,-54,-69,-53,-54,-64,-65,-67,-72,-72,-77,-76,-86,-78,-79,-80,-80,-66,-71,-73,-72,-78,-84,-85,-73,-75,-72,-71,-72,-75,-74,-64,-68,-68,-68,-75,-78,-85,-82,-75,-74,-72,-72,-74,-73,-63,-65,-64,-60,-76,-72,-71,-43,-46,-47,-48,-49,-54,-52,-28,-32,-34,-32,-38,-44,-52,-26,-30,-28,-32,-34,-38,-46,-13,-29,-24,-21,-21,-22,-30,-15,-16,-16,-11,-14,-21,-11,-5,-15,-12,-8,-12,-16,-15,-4,-8,-8,-5,-9,-14,-13,-9,-9,-4,-2,-5,-11,-9,6,3,4,5,-1,-7,-5,11,6,8,9,2,-5,1,,
country/region,Greece,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,3,5,2,-5,-4,7,3,4,12,22,18,20,31,-57,7,4,7,4,2,2,1,13,16,21,29,11,-14,-2,-14,-20,-15,-12,-24,59,-29,-12,-85,-20,-23,-24,-41,-17,-18,-23,-18,-16,-28,-45,-17,-19,-16,-10,-8,-14,76,-7,-3,7,26,-2,-7,-54,-80,-12,-14,-12,-8,-9,-3,-4,-5,0,28,-69,2,14,4,2,4,9,9,4,36,8,9,6,11,10,7,35,9,8,11,9,11,8,43,7,1,8,12,13,8,34,11,10,7,14,13,8,54,-21,9,8,11,8,2,39,8,9,9,6,6,0,40,4,7,7,11,11,2,45,7,10,8,12,9,0,49,13,11,9,11,9,1,57,,
country/region,Greece,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12,22,24,12,17,7,-2,-12,22,27,13,15,8,7,19,84,152,5,0,11,9,5,5,-9,1,13,15,6,1,-25,-28,-25,-22,-23,-26,-32,-41,-61,-60,-67,-65,-67,-63,-55,-32,-48,-54,-49,-58,-74,-70,-50,-53,-40,-33,-35,-39,-35,-15,-33,-41,-22,-23,-39,-53,-19,-39,-41,-32,-21,-20,-10,7,-4,-1,4,0,-21,-7,41,38,40,31,39,45,65,70,53,70,68,61,65,87,87,62,71,30,42,56,89,70,9,28,35,37,54,61,51,44,54,70,60,56,135,174,57,71,63,58,69,110,88,61,68,69,68,84,106,62,50,75,80,80,93,129,121,86,106,104,98,110,128,135,103,124,126,112,121,159,,
country/region,Greece,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,8,10,-27,8,4,1,-6,6,8,5,5,7,8,1,-1,-14,5,0,4,-1,-6,-7,-10,-5,-13,-17,-26,-35,-48,-51,-52,-59,-60,-61,-61,-63,-74,-73,-86,-76,-77,-74,-76,-68,-70,-72,-70,-73,-78,-80,-72,-72,-69,-67,-66,-65,-67,-64,-65,-65,-61,-69,-67,-78,-78,-68,-69,-66,-64,-59,-61,-59,-58,-58,-55,-70,-57,-59,-43,-42,-41,-42,-40,-34,-33,-32,-32,-32,-32,-33,-28,-35,-24,-26,-25,-27,-26,-21,-18,-22,-32,-28,-26,-23,-15,-17,-19,-17,-18,-12,-11,-13,-14,-22,-16,-17,-16,-18,-17,-15,-15,-16,-17,-16,-17,-15,-13,-21,-17,-17,-13,-12,-10,-9,-10,-11,-9,-7,-7,-6,-2,-5,-7,-7,-4,-10,-6,0,,
country/region,Greece,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,-2,4,4,1,2,4,3,3,3,3,1,1,5,-67,2,4,4,3,2,2,-1,1,-11,-14,-19,-26,-37,-39,-44,-48,-49,-50,-45,-41,-57,-58,-84,-58,-58,-52,-53,-54,-56,-57,-57,-57,-54,-55,-56,-56,-55,-55,-55,-47,-42,-53,-54,-55,-56,-73,-52,-60,-83,-55,-54,-53,-52,-42,-40,-47,-48,-46,-46,-77,-38,-33,-38,-38,-36,-36,-36,-25,-22,-29,-29,-29,-29,-29,-18,-19,-23,-24,-24,-24,-23,-10,-8,-19,-19,-18,-16,-17,0,3,-13,-12,-12,-12,-13,-3,2,-48,-13,-12,-12,-13,1,6,-12,-11,-12,-12,-13,0,4,-14,-13,-11,-10,-12,-1,5,-12,-11,-14,-14,-15,-3,1,-16,-15,-14,-14,-15,-2,4,,
country/region,Greece,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,-1,1,-1,-2,1,2,0,-1,-1,-1,-1,0,0,-1,4,-1,0,0,1,2,3,2,1,4,5,9,11,14,16,17,19,20,22,18,16,25,25,33,26,29,23,20,22,23,24,24,27,23,21,24,24,23,23,25,20,18,21,21,22,22,30,20,20,30,22,22,22,23,17,15,18,17,19,17,29,16,15,13,13,13,14,15,9,7,10,11,10,9,11,7,5,7,7,7,8,9,5,2,5,8,8,7,7,3,2,5,4,4,3,3,1,-1,3,2,3,3,3,1,-2,2,3,3,2,2,-1,-3,3,3,2,2,1,-2,-5,0,0,0,0,0,-3,-5,0,0,0,-1,0,-4,-7,,
