geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Austria,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,14,18,21,29,41,55,79,104,131,182,246,302,504,655,860,1018,1332,1646,2013,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,9618,10180,10711,11129,11524,11781,12051,12297,12639,12942,13244,13555,13806,13945,14041,14226,14336,14476,14595,14671,14749,14795,14873,14925,15002,15071,15148,15225,15274,15357,15402,15452,15531,15558,15597,15621,15650,15684,15752,15774,15833,15871,15882,15961,15997,16058,16109,16201,16242,16269,16321,16353,16404,16436,16486,16503,16539,16557,16591,16628,16655,16685,16731,16733,16759,16771,16805,16843,16898,16902,16968,16979,17005,17034,17064,17078,17109,17135,17189,17203,17223,17271,17323,17341,17380,17408,17449,17477,17522,17580,17654,17723,17766,17873,17941,18050,18165,18280,18365,18421,18513,18615,18709,18783,18897,18948,19021,19154,19270,19439,19573,19655,19743,,,
country/region,Austria,driving,100,101.14,104.24,112.21,117.23,117.22,105.17,100.7,102.67,104.33,107.89,123.67,119.39,105.55,104.42,106.42,106.1,108.47,125.62,134.87,109.33,109.04,107.88,110.15,107.4,127.94,146.79,116.74,109.94,112.72,113.59,116.37,145.47,158.95,120.22,113.56,113.49,117.98,117.11,142.35,156.99,114.15,111.17,109,108.98,113.71,138.1,130.25,106.13,103.21,104.24,111.11,111.25,123.46,121.17,109.52,102.15,98.85,92.94,86.76,86.98,64.33,49.07,40.52,37.03,37.41,36.14,34.41,24.83,27.11,33.29,33.44,33.69,34.36,35.61,32.88,32.93,35.85,38.57,39.62,40.34,38.34,33.05,39.2,44.15,46.62,47.85,48.81,45.09,36.78,35.06,42.33,51.14,53.88,56.02,54.07,45.63,45.82,58.87,59.22,60.21,60.76,57.52,50.31,57.18,60.96,62.63,62.29,64.44,61.2,62.46,66.38,74.19,74.04,78.21,80.89,83.51,71.17,69.52,,,82.07,81.45,82.33,77.45,84.79,91.52,92.97,98.43,94.3,95.35,79.58,86.13,90.85,94.31,97.31,98.09,107.06,95.49,85.66,113.69,111.56,109.53,111.11,114,107.45,103.32,108.74,113.08,126.42,125.28,131.9,118.86,114.42,118.3,118.83,120.65,122.53,130.1,114,115.29,122.73,127.08,128.2,131.95,144.96,140.43,140.91,132.26,138.58,141.72,143.36,158.67,151.19,159.71,148.1,152.63,151.8,154.17,161.66,152.09,162.59,156.46,156.37
country/region,Austria,walking,100,101.55,105.59,112.24,123.36,131.05,89.93,100.6,103.3,105.28,110.89,132.87,136.57,92.99,105.8,105.38,107.8,113.19,132.21,148.15,101.66,106.52,106.85,105.75,106.66,126.55,142.55,103.86,110.43,114.55,114.2,123.11,148.29,165.31,113.75,125.35,127.47,125.25,132.26,142.4,166.41,114.7,125.95,125.66,115.47,122.28,129.96,134.42,98.99,111.8,110.27,112.82,120.92,133.87,136.39,97.8,104.56,98.53,93.87,89.3,68.36,55.3,36.38,28.86,25.53,31.77,32.53,32.38,18.54,20.63,23.85,25.22,23.88,25.66,31.85,35.26,27.22,25.06,28.08,31.19,32.78,31.95,31.59,39.51,36.79,39.81,40.71,41.69,40.48,38.8,39.48,33.92,35.47,41.26,45.58,45.03,43.04,32.29,44.2,44.93,47.59,48.07,44.41,43.01,48.66,44.67,47.74,40.06,46.55,46.62,49.18,46.38,54.51,53.07,56.95,61.4,63.62,55.41,45.27,,,56.28,55.44,54.72,59.94,60.89,71.56,71.7,71.21,68.8,76.04,56.69,52.92,62.19,66.45,75.84,67.17,77.68,75.37,51.95,80.63,85.05,83.34,87.02,84.65,92.45,64.72,80.21,84.13,82.75,93.81,112.65,95.66,58.08,85.6,92.76,93.79,96.42,100.68,84.26,69.95,96.99,102.8,101.25,102.07,115.21,115.38,87.7,98.18,113.66,110.28,115.15,125.89,125.71,107.69,115.17,129.11,125.76,127.37,121.63,107.17,112.38,129.73,131.06
country/region,Austria,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,9,8,4,4,1,9,4,9,13,-3,1,-1,2,0,2,-1,2,1,-1,4,14,-1,-3,-6,-10,-20,-35,-59,-71,-79,-79,-80,-81,-88,-90,-79,-80,-81,-81,-80,-83,-87,-78,-77,-77,-77,-79,-82,-82,-73,-74,-74,-74,-76,-81,-83,-90,-62,-62,-63,-65,-70,-84,-58,-60,-61,-62,-64,-68,-73,-57,-58,-61,-49,-83,-43,-72,-32,-39,-38,-39,-40,-43,-64,-37,-39,-41,-42,-34,-32,-40,-20,-22,-14,-58,-20,-32,-44,-22,-25,-21,-26,-23,-24,-44,-46,-13,-18,-19,-20,-20,-30,-14,-14,-9,-47,-11,-21,-35,-12,-11,-12,-14,-17,-20,-35,-10,-9,-11,-12,-14,-18,-14,-11,-2,-8,-7,-5,-12,-6,-5,2,-2,-6,-14,-17,0,,
country/region,Austria,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,5,5,2,1,4,3,23,10,10,10,7,9,3,8,6,4,5,3,3,0,14,4,10,17,24,46,-7,-32,-14,-32,-30,-29,-28,-39,-69,-31,-32,-34,-31,-26,-31,-64,-31,-24,-30,-29,-25,-30,-55,-26,-24,-21,-15,-16,-27,-54,-94,-16,-20,-18,-16,-21,-53,-24,-21,-21,-18,-17,-19,-36,-22,-18,-12,13,-90,4,-32,-8,-8,-5,-5,-2,-2,-25,-16,-9,-10,-9,-11,-13,-18,-11,-7,22,-87,2,-12,-20,-9,-8,-8,-6,-1,-2,-21,-86,9,-3,-4,-3,-11,-11,-7,-4,18,-85,0,-13,-19,-7,-5,-7,-7,-8,-12,-22,-9,-8,-8,-6,-7,-13,3,-8,-3,-4,-3,-1,-11,12,-3,1,-3,-5,-8,-8,14,,
country/region,Austria,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,35,40,10,13,7,52,4,25,60,8,9,-1,9,6,16,-1,12,4,-7,-2,42,2,9,12,18,-20,-17,-13,-37,-43,-24,-32,-32,-73,-60,-57,-44,-58,-59,-39,-21,-43,-57,-47,-34,-36,-46,-36,-11,-22,-6,-10,-20,-22,-20,-6,-15,-41,-12,-9,-10,-8,-37,-14,2,7,-3,-10,-7,23,-12,14,-40,-10,5,-12,-1,-2,-18,1,12,20,18,8,-8,-4,-13,-20,-43,5,47,35,27,20,82,28,-6,3,-22,-10,38,-27,-6,16,-13,141,40,23,10,-13,55,22,-4,8,-3,96,84,95,-18,-3,35,35,16,14,-2,-13,50,92,71,26,51,89,79,14,90,57,38,42,102,114,64,108,107,80,76,-5,110,,
country/region,Austria,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,3,2,-1,2,-2,14,5,3,7,-2,0,-2,0,1,1,-3,0,0,-2,-3,5,-3,-3,-8,-9,-20,-34,-43,-56,-66,-65,-67,-68,-75,-76,-71,-71,-73,-72,-70,-66,-71,-71,-69,-67,-68,-69,-67,-64,-64,-63,-63,-63,-66,-62,-63,-78,-62,-58,-57,-58,-54,-66,-56,-54,-54,-54,-56,-52,-50,-52,-50,-55,-49,-66,-44,-49,-43,-46,-43,-41,-41,-35,-39,-43,-41,-43,-44,-47,-35,-31,-32,-33,-29,-52,-38,-41,-37,-37,-36,-30,-36,-33,-30,-45,-45,-27,-26,-25,-30,-22,-31,-28,-27,-24,-47,-29,-20,-33,-26,-22,-22,-24,-25,-30,-34,-22,-19,-20,-22,-21,-14,-11,-24,-16,-17,-18,-16,-9,-5,-19,-16,-17,-18,-19,-25,-5,,
country/region,Austria,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-4,-4,-5,-5,-5,2,2,2,0,0,1,1,1,2,3,2,2,1,1,0,1,1,1,-1,-3,-6,-9,-18,-43,-55,-58,-60,-59,-54,-54,-60,-61,-62,-62,-60,-49,-51,-59,-59,-59,-59,-59,-48,-46,-58,-58,-58,-59,-63,-45,-45,-88,-53,-52,-52,-52,-36,-43,-48,-48,-48,-48,-49,-33,-34,-45,-45,-46,-45,-82,-24,-31,-38,-39,-38,-38,-39,-19,-18,-36,-35,-35,-36,-36,-12,-13,-27,-28,-28,-80,-44,-13,-14,-29,-27,-26,-28,-28,-5,-14,-79,-29,-23,-23,-24,-1,-5,-25,-25,-26,-76,-42,-1,-2,-24,-22,-23,-24,-24,-6,-9,-24,-23,-22,-24,-23,-2,2,-23,-20,-21,-21,-23,-2,0,-26,-26,-25,-26,-28,-12,-3,,
country/region,Austria,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2,0,0,1,0,1,-2,0,-1,0,1,1,1,0,0,-1,1,0,0,0,0,-2,0,0,1,2,5,8,8,19,24,24,25,26,20,15,25,26,27,27,27,17,14,25,25,24,25,26,17,12,22,22,22,22,24,15,11,31,21,20,20,20,13,12,18,18,18,18,19,12,8,16,15,18,14,26,8,7,12,14,12,12,12,5,3,12,13,13,12,13,5,3,7,8,6,20,10,6,4,9,9,7,9,7,2,4,16,5,5,5,6,0,2,5,6,3,17,5,-2,1,5,4,4,4,4,2,2,3,2,2,4,2,-2,-4,4,2,2,3,2,-3,-6,3,2,1,1,1,2,-4,,
