geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Uruguay,confirmed_cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,29,50,79,94,110,135,158,162,189,217,238,274,303,309,320,338,350,369,386,400,406,415,424,456,473,494,501,480,483,492,493,502,508,517,528,535,543,549,557,563,596,606,620,625,630,643,648,652,655,657,670,673,684,694,702,707,711,717,719,724,732,733,734,737,738,746,749,753,764,769,787,789,803,811,816,821,823,825,826,828,832,834,845,845,845,846,847,847,847,847,848,848,849,849,850,853,859,876,882,885,902,907,919,924,929,932,936,943,947,952,955,956,960,965,974,977,985,986,987,989,997,1009,1026,1037,1044,1054,1064,,,
country/region,Uruguay,driving,100,96.84,92.9,103.48,114.91,115.03,99.48,93.3,90.33,91.99,91.7,105.14,112.73,94.35,86.79,81.38,77.9,86.05,101.42,115.88,83.72,87.54,87.68,90.01,92.01,108.97,108.71,84.47,97.05,91.78,94.52,101.22,124.23,123.6,91.1,94.13,91.29,96.69,99.72,122.52,140,102.44,101.71,101.88,91.86,90.42,99.91,103.88,76.88,85.03,86.79,87.43,87.65,105.24,109.39,80.85,83.25,82.84,83.37,78.45,90.56,63.22,37.71,46.97,35,30.22,28.53,34.77,28.51,17.88,28.96,26.6,25.98,26.87,31.33,24.88,18.69,28.97,28.71,27.48,29.38,38.33,31.06,20.06,31.53,30.47,31.66,30.94,27.61,32.85,24.94,33.68,28.74,33.16,36.07,45.24,38.41,24.94,39.45,40.19,40.1,42.79,48.61,38.88,26.24,38.65,34.07,43.28,52.36,32.9,43.76,34.37,46.07,45.63,48.98,49.01,60.74,60.03,42.71,,,51.38,50.65,61.72,60.31,43.34,49.57,51.18,53.76,48.23,56.06,58.64,40.29,47.02,51.63,52.85,56.83,68.78,63.7,35.47,52.57,57.77,59.83,62.13,71.9,71.41,44.81,58.16,61.04,65.04,62.25,80.54,75.92,50.21,56.11,59.39,63.04,62.7,80.67,73.73,46.4,58.66,56.63,56.27,64.68,79.9,75.95,46.9,58.47,54.67,61.15,65.09,93.51,84.7,56.3,64.59,71.36,70.28,79.68,98.82,92.44,55.93,61.05,61.94
country/region,Uruguay,walking,100,94.9,78.04,100.46,105.04,98.78,76.52,89.94,91.02,93.33,92.41,97.53,87.8,59.06,80.88,81.43,79.01,77.77,88.53,79.56,62.04,79.42,88.75,86.9,86.85,94.96,87.58,60.52,89.97,97.48,94.5,101.55,116.46,88.1,63.72,82.86,92.35,92.6,102.85,102.9,98.94,95.69,89.48,74.57,96.48,100.43,102.25,93.66,67.16,104.77,102.52,107.35,104.34,112.5,90.86,65.21,101.9,109.63,97.59,101.52,100.62,49.97,38.53,47.53,34.38,23.86,22.86,29.09,24.02,15.21,25.24,19.71,22.64,19.6,23.21,18.63,14.1,21.37,21.29,20.44,22.37,27.36,23.59,14.91,21.12,23.67,25.73,22.53,19.33,23.64,14.24,25.57,19.77,23.05,26.22,30.91,26.06,17.38,31.13,31.48,31.91,32.81,34.19,25.11,19.74,29.93,25.03,34.41,33.54,21.2,30.97,23.48,38.77,35.22,36.06,40.05,44.36,40.1,25.89,,,43.98,43.36,45.44,41.16,27.85,39.99,42.52,45.28,35.39,41.38,38.26,28.34,36.96,38.29,48.43,46.72,58.89,44.47,22.75,43.6,49.51,52.58,50.65,54.64,47.02,30.86,50.22,57.48,49.67,50.79,59.41,48.4,29.09,45.88,47.86,51.57,46.34,61.06,47.4,27.09,50.46,46.77,41.54,53.28,63.1,52.39,29.58,50.41,38.58,50.73,52.6,69.58,56.02,34.79,50.49,59.82,57.81,64.43,71.91,71.39,32.08,49.84,55.07
country/region,Uruguay,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-7,-5,-4,3,-1,-2,2,5,-8,-20,-3,-5,-2,1,-11,4,3,5,1,5,7,2,2,-1,-3,-5,-5,-30,-39,-30,-44,-53,-56,-54,-62,-74,-57,-62,-62,-65,-63,-68,-75,-60,-62,-62,-57,-53,-58,-71,-55,-56,-55,-63,-76,-68,-71,-47,-60,-52,-53,-52,-56,-66,-48,-53,-52,-54,-55,-61,-66,-51,-63,-48,-43,-83,-48,-59,-44,-45,-41,-40,-36,-36,-48,-35,-39,-39,-41,-41,-38,-48,-40,-37,-37,-52,-50,-45,-54,-43,-44,-39,-41,-39,-39,-63,-38,-33,-31,-33,-35,-41,-53,-32,-32,-27,-32,-28,-29,-39,-28,-28,-26,-37,-32,-30,-50,-28,-38,-42,-34,-30,-32,-40,-29,-48,-32,-26,-22,-22,-33,-17,-24,-26,-22,-20,-16,-37,,
country/region,Uruguay,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,-5,-6,-3,0,-3,-1,0,1,-7,-12,0,-6,-2,0,-5,6,11,12,4,6,3,3,4,3,1,0,9,-2,-6,-9,-19,-17,-23,-21,-30,-42,-30,-39,-37,-41,-38,-41,-45,-37,-35,-33,-26,-20,-24,-36,-26,-25,-22,-26,-42,-29,-32,-26,-37,-25,-28,-26,-29,-36,-31,-33,-32,-35,-34,-37,-37,-35,-44,-23,-8,-75,-19,-30,-28,-24,-18,-20,-15,-10,-17,-21,-22,-20,-25,-22,-18,-24,-28,-23,-20,-35,-30,-21,-28,-30,-30,-23,-26,-21,-17,-32,-22,-15,-13,-16,-14,-17,-23,-19,-18,-13,-19,-13,-9,-15,-17,-15,-12,-23,-14,-12,-27,-16,-25,-26,-19,-16,-14,-19,-19,-35,-13,-9,-5,-4,-12,-8,-11,-13,-11,-7,0,-13,,
country/region,Uruguay,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-9,-21,-16,-4,-14,-27,-11,0,29,-7,-9,-3,-12,-10,-17,-14,-12,-14,-14,-17,-13,-13,-25,-22,-32,-22,-25,-57,-59,-45,-58,-67,-67,-63,-68,-78,-68,-69,-71,-70,-71,-76,-79,-69,-72,-73,-70,-66,-71,-79,-69,-70,-70,-71,-77,-75,-79,-66,-74,-69,-65,-66,-67,-71,-60,-65,-64,-62,-68,-76,-73,-67,-75,-63,-59,-74,-62,-64,-63,-65,-62,-55,-55,-53,-56,-53,-53,-54,-54,-59,-47,-50,-47,-45,-46,-68,-69,-62,-63,-63,-60,-50,-48,-51,-51,-78,-58,-49,-49,-48,-59,-67,-71,-56,-53,-47,-52,-52,-59,-59,-53,-44,-45,-59,-58,-50,-72,-50,-60,-66,-55,-54,-56,-59,-54,-69,-58,-50,-50,-52,-59,-47,-51,-54,-46,-50,-46,-66,,
country/region,Uruguay,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-5,-4,-4,2,0,-4,-3,-6,-10,-14,0,-1,-3,-6,-15,1,4,6,5,6,-4,-10,6,4,2,1,1,-32,-40,-27,-37,-47,-49,-46,-56,-68,-53,-56,-57,-58,-58,-64,-71,-57,-59,-60,-55,-52,-57,-68,-55,-55,-54,-60,-70,-63,-66,-49,-60,-51,-49,-49,-56,-64,-49,-50,-50,-50,-52,-60,-64,-50,-60,-46,-42,-78,-50,-58,-46,-47,-42,-39,-39,-39,-46,-38,-38,-38,-40,-41,-40,-49,-43,-37,-36,-49,-50,-47,-53,-45,-43,-38,-38,-38,-41,-63,-40,-34,-32,-32,-36,-47,-52,-36,-35,-30,-34,-33,-39,-44,-33,-31,-28,-40,-39,-37,-56,-31,-39,-44,-33,-32,-39,-46,-31,-49,-35,-28,-27,-33,-43,-24,-26,-28,-23,-26,-28,-42,,
country/region,Uruguay,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-3,7,7,7,6,7,1,0,-36,-36,3,4,5,2,-7,15,19,20,21,23,5,-2,24,24,22,21,23,-3,-12,-1,-12,-24,-27,-28,-27,-33,-33,-38,-40,-41,-39,-34,-35,-39,-41,-43,-42,-39,-32,-35,-48,-50,-50,-58,-67,-43,-32,-34,-39,-36,-34,-32,-25,-28,-29,-30,-31,-31,-30,-27,-28,-28,-34,-28,-28,-73,-25,-24,-24,-26,-25,-24,-21,-16,-13,-20,-21,-21,-21,-20,-14,-17,-34,-17,-19,-24,-22,-15,-19,-18,-15,-15,-16,-14,-11,-22,-12,-11,-12,-13,-13,-15,-16,-10,-10,-10,-12,-10,-9,-6,-9,-7,-8,-14,-28,-10,-17,-8,-12,-14,-9,-7,-10,-13,-5,-12,-9,-6,-4,-8,-14,-4,-6,-7,-5,-4,-8,-8,,
country/region,Uruguay,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,-1,0,0,0,2,6,5,0,1,0,1,4,0,-1,-2,-2,-3,1,3,-2,-2,-2,-1,-2,9,13,8,12,16,17,18,18,21,19,19,20,21,22,20,22,20,20,21,20,21,19,21,21,21,20,23,28,20,20,18,20,18,18,19,16,18,16,16,16,17,18,18,19,17,16,15,13,27,15,16,15,15,15,14,15,13,13,13,13,13,12,14,12,13,15,12,12,17,17,14,15,14,13,12,13,13,11,17,13,11,11,11,12,13,15,12,11,10,11,11,11,11,10,9,9,12,12,10,14,10,12,13,11,10,10,13,10,14,10,9,9,9,12,8,8,9,8,8,9,11,,
