country,year,gwno,ccode,ifscode,ifs,iso,gwabbrev,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,pop_WDI,pop_den_WDI,pop_urb_WDI,pop0_14_WDI,workingpop_WDI
Andorra,2015,232,232,171,ADO,,AND,70473,,,,70473,149.942553,85.11,,
Portugal,2015,235,235,182,PRT,,POR,10358076,2.28E+11,21969.1478,1.595563469,10358076,113.07326,63.46,14.0533206,65.1552111
German Federal Republic,2015,260,260,134,DEU,,GFR,81679769,3.70E+12,45260.0814,1.7207335,81679769,234.106532,75.3,12.8858241,65.8735239
German Democratic Republic,2015,265,265,,DDR,,GDR,,,,,,,,,
Poland,2015,290,290,964,POL,,POL,37986412,5.57E+11,14655.1615,3.940910762,37986412,124.061569,60.53,14.9462804,69.5203957
Austria,2015,305,305,122,AUT,,AUS,8638366,4.11E+11,47603.7968,0.963058399,8638366,104.678283,65.96,14.2076397,67.0332301
Hungary,2015,310,310,944,HUN,,HUN,9843028,1.43E+11,14519.1279,3.148083829,9843028,108.726698,71.22,14.5587077,67.6233936
Czech Republic,2015,316,316,935,CZE,,CZR,10546059,2.24E+11,21224.5758,4.535628699,10546059,136.589289,72.99,15.0418953,66.882117
Slovakia,2015,317,317,936,SVK,,SLO,5423801,1.01E+11,18644.0026,3.83108478,5423801,112.793765,53.59,15.123645,71.0312889
Italy/Sardinia,2015,325,325,136,ITA,,ITA,60730582,2.06E+12,33889.2453,0.731730561,60730582,206.468287,68.96,13.7103819,63.8797421
San Marino,2015,331,331,135,SMR,,SNM,31781,,,,31781,529.683333,94.19,,
Malta,2015,338,338,181,MLT,,MLT,431874,10503576159,24320.9273,6.154958235,431874,1349.60625,95.4,14.4321303,66.3197745
Albania,2015,339,339,914,ALB,,ALB,2889167,13125739816,4543.08796,2.800000001,2889167,105.444051,57.4,18.5462041,69.057462
Serbia,2015,340,345,942,SRB,,SER,7095383,40183938020,5663.39238,0.757715153,7095383,81.1271781,55.55,16.3003172,66.6173161
Montenegro,2015,341,341,943,MNE,,MNG,622159,4518527906,7262.65778,3.151191381,622159,46.2571747,64.02,18.6549288,67.700042
Macedonia (Former Yugoslav Republic of),2015,343,343,962,MKD,,MAC,2078453,10587298397,5093.83584,3.665280361,2078453,82.4128866,57.1,16.9530896,70.7240914
Croatia,2015,344,344,960,HRV,,CRO,4203604,58327812721,13875.6678,1.644613259,4203604,75.1180128,58.96,14.8906555,66.1722696
Bosnia-Herzegovina,2015,346,346,963,BIH,,BOS,3810416,18297160279,4801.87997,3.034826724,3810416,74.4221875,39.76,13.49808,71.0579632
Kosovo,2015,347,347,967,KSV,,KOS,1801800,6822403564,3786.43776,3.915772337,1801800,165.500137,,25.7377049,67.5956284
Slovenia,2015,349,349,961,SVN,,SLV,2063531,49073433775,23781.2922,2.316644859,2063531,102.459334,49.65,14.7844331,67.2471833
Greece,2015,350,350,174,GRC,,GRC,10820883,2.44E+11,22579.3597,-0.21914717,10820883,83.9478898,78,14.602327,64.0011147
Cyprus,2015,352,352,423,CYP,,CYP,1165300,23384744860,27587.2808,1.679273729,1165300,126.114718,66.92,16.5510169,70.6035355
Bulgaria,2015,355,355,918,SUN,,BUL,7177991,54639046567,7612.02494,3.617442633,7177991,66.120035,73.94,14.1440157,65.8285065
Moldova,2015,359,359,921,MDA,,MLD,3554108,7031017911,1978.27919,-0.5,3554108,123.806319,44.99,15.7334039,74.3086639
Rumania,2015,360,360,968,ROM,,RUM,19815308,1.89E+11,9538.87222,3.66295969,19815308,86.123557,54.56,15.5205817,67.1654214
Russia (Soviet Union),2015,365,365,974,RUS,,RUS,144096870,1.63E+12,11144.5912,-2.82824081,144096870,8.79880404,74,16.7519185,69.8822387
Estonia,2015,366,366,939,EST,,EST,1314608,23141668874,17603.4748,1.444213103,1314608,31.0122198,67.53,16.0878224,65.1524732
Latvia,2015,367,367,941,LVA,,LAT,1977527,28333749338,14327.8697,2.7383702,1977527,31.8032647,67.38,14.922129,65.710075
Lithuania,2015,368,368,946,LTU,,LIT,2904910,44581135003,15346.8214,1.778576184,2904910,46.3672785,66.5,14.5148789,66.6373217
Ukraine,2015,369,369,926,UKR,,UKR,45154029,1.21E+11,2825.85009,-9.86978436,45154029,77.9471922,69.69,14.927617,69.7661921
Belarus (Byelorussia),2015,370,370,913,BLR,,BLR,9489616,58590516276,6174.17146,-3.8876985,9489616,46.7676112,76.66,16.0682072,69.950871
Armenia,2015,371,371,911,ARM,,ARM,3017712,11456794382,3796.51682,3,3017712,105.996206,62.67,18.3838948,70.7901217
Georgia,2015,372,372,915,GEO,,GRG,3717100,14753724432,3969.14918,2.774928095,3717100,65.2924644,53.64,17.3274643,68.6468764
Azerbaijan,2015,373,373,912,AZE,,AZE,9649341,59025316810,6117.03087,1.1,9649341,116.731076,54.62,21.9185463,72.4553638
Finland,2015,375,375,172,FIN,,FIN,5479531,2.48E+11,45214.3883,0.268556389,5479531,18.0312975,84.22,16.3383306,63.1844856
Sweden,2015,380,380,144,SWE,,SWD,9799186,5.41E+11,55163.6353,4.084960074,9799186,24.0582995,85.81,17.2848795,62.7731014
Norway,2015,385,385,142,NOR,,NOR,5190239,4.65E+11,89590.8135,1.611027108,5190239,14.2102944,80.47,17.9685459,65.6985354
Denmark,2015,390,390,128,DNK,,DEN,5683483,3.41E+11,60000.5442,1.606086132,5683483,134.482111,87.67,16.8810077,64.1595524
Iceland,2015,395,395,176,ISL,,ICE,330815,15168620051,45852.274,4.170019104,330815,3.29990024,94.13,20.3196478,65.9664567
Abkhazia,2015,396,,,,,ABK,,,,,,,,,
Cape Verde,2015,402,402,624,CPV,,CAP,520502,1821863561,3500.20472,1.454660521,520502,129.156823,65.52,29.6506065,65.7686233
São Tomé and Principe,2015,403,403,716,STP,,STP,190344,246090401.2,1292.87185,3.973255112,190344,198.275,65.09,42.6275585,54.2869751
Guinea-Bissau,2015,404,404,654,GNB,,GNB,1844325,984488940.9,533.793632,4.796779831,1844325,65.58766,49.33,40.7929188,56.0386591
Equatorial Guinea,2015,411,411,642,GNQ,,EQG,845060,16422276374,19433.2667,-8.28496885,845060,30.1269162,39.92,39.2608808,57.8531701
Gambia,2015,420,420,648,GMB,,GAM,1990924,1067687903,536.277579,4.715879134,1990924,196.73162,59.63,46.1842842,51.5018654
Mali,2015,432,432,678,MLI,,MLI,17599694,12686032241,720.809818,5.962581591,17599694,14.4237323,39.91,47.5261842,49.9541582
Senegal,2015,433,433,722,SEN,,SEN,15129273,15772186965,1042.4947,6.485194754,15129273,78.5813795,43.72,43.7620961,53.3043788
Benin,2015,434,434,638,BEN,,BEN,10879829,8755259214,804.723972,2.094457981,10879829,96.4865998,43.95,42.1584015,54.9504316
Mauritania,2015,435,435,682,MRT,,MAA,4067564,,,,4067564,3.94640923,59.85,40.0164078,56.7736365
Niger,2015,436,436,692,NER,,NIR,19899120,7637893798,383.830732,3.605301605,19899120,15.7094181,18.73,50.4655783,46.9543527
Cote D’Ivoire,2015,437,437,662,CIV,,CDI,22701556,33966881649,1496.23583,9.163380703,22701556,71.3885408,54.18,42.4743176,54.4987665
Guinea,2015,438,438,656,GIN,,GUI,12608590,5258999828,417.096584,0.099994528,12608590,51.3128357,37.16,42.531996,54.4045844
Burkina Faso (Upper Volta),2015,439,439,748,BFA,,BFO,18105570,11671015481,644.609116,4.021049409,18105570,66.1753289,29.85,45.5720642,52.034628
Liberia,2015,450,450,668,LBR,,LBR,4503438,1653502630,367.164515,0,4503438,46.7549626,49.7,42.3057228,54.6828445
