geo_type,region,metric,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020
country/region,Republic of Korea,confirmed_cases,1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,24,24,25,27,28,28,28,28,28,29,30,31,31,104,204,433,602,833,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7314,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8961,8961,9037,9137,9241,9332,9478,9583,9661,9786,9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694,10708,10718,10728,10738,10752,10761,10765,10774,10780,10793,10801,10804,10806,10810,10822,10840,10874,10909,10936,10962,10991,11018,11037,11050,11065,11078,11110,11122,11142,11165,11190,11206,11225,11265,11344,11402,11441,11468,11503,11541,11590,11629,11668,11719,11776,11814,11852,11902,11947,12003,12051,12085,12121,12155,12198,12257,12306,12373,12421,12438,12484,12535,12563,12602,12653,12715,12757,12800,12850,12904,12967,13030,13091,13137,13181,13244,13293,13338,13373,13417,13479,13512,13551,13612,13672,13711,13745,13771,13816,,,
country/region,Republic of Korea,driving,100,98.53,101.94,108.13,122.17,113.73,110.31,108.45,105.33,112.78,134.89,132.5,133.36,119.25,101.94,97.54,95.77,104.55,106.2,83.78,80.08,80.06,77.33,76.93,76.81,85.16,79.42,79.03,81.57,80.72,84.53,85.16,96.68,83.25,76.41,78.7,82.67,81.38,79.4,79.63,67.53,64.55,62.29,62.25,61.46,55.92,55.41,51.12,52.72,52.48,53.41,52.79,53.55,57.92,55.26,56.98,53.45,56.01,54.97,55.19,60.69,54.44,53.37,52.49,54.39,53.18,54.92,65.77,59.72,55.75,56.17,56.38,55.21,54.29,62.41,60.07,56.55,56.24,58.4,59.07,59.06,71.97,65.09,58.14,60.28,59.74,59.07,58.76,69.49,60.85,57.41,59.57,68.22,58.92,58.76,68.86,64.38,55,59.43,57.6,60.3,63.5,71.99,72.07,63.2,63.63,67.8,93.02,89.85,89.36,81.04,81.83,80.48,69.54,72.99,74.56,80.8,72.02,69.08,,,71.25,69.4,79.62,81.04,74.8,65.54,72.66,75.26,77.62,93.66,84.92,76.81,75.39,73.63,75.71,79.73,94.9,86.58,75.69,70.43,69.39,68.16,70.49,84.35,79.89,72.76,69.46,68.1,66.9,72.91,83.13,74.89,71.23,71.24,68.23,67.21,70.9,86.39,81.72,71.69,73.34,72.33,67.14,72.24,88.89,84.83,73.78,66.83,69.58,72.06,75.25,87.32,86.45,75.18,70.39,71.29,72.19,71.53,96.12,80.68,69.6,67.99,70.82
country/region,Republic of Korea,walking,100,101.26,104.37,109.61,128.68,124.37,113.47,108.11,104.4,100.02,102.91,103.55,112.88,105.85,100.29,103.57,99.09,109.83,110.04,87.13,78.41,79,74.19,69.37,72.17,83.12,80.64,77.53,80.29,76.27,81.82,84.33,94.45,78.61,67.55,75.78,79.84,79.71,75.08,71.52,62.77,57.99,51.5,54.24,50.56,41.83,40.67,38.09,39.13,37.82,37.45,35.81,39.03,39.29,40.01,43.69,35.61,39.77,39.24,43.04,43.48,39.21,37.78,37.25,39.14,37.37,39.5,49.45,45.47,43.47,41.14,42.81,40.62,39.1,45.8,44.31,42.05,41.88,43.68,42.13,44.39,50.92,43.89,43.4,40.23,41.09,41.29,44.61,51.64,42.6,41.57,42.92,54.34,43.37,39.07,50.73,46.58,35.38,40.37,37.92,40.8,43.15,55.51,56.25,44,43.03,46.21,58.19,61.06,62.77,55.76,52.27,54.8,51.74,53.19,54.69,47.55,51.06,48.4,,,47.93,44.27,51.78,54.35,44.71,38.55,45.93,48.25,50.14,58.54,56.58,48.44,45.24,45.92,46.9,47.4,58.92,54.34,47.2,45.2,45.87,46.97,47.6,58.95,58.81,46.56,43.97,42.06,40.46,45.92,56.37,53.48,47.29,45.2,45.96,42.2,46.38,58.55,55.32,44.1,45.52,43.15,40.52,46.31,61.33,58.45,47.22,41.31,46.3,47.39,52.06,64.1,60.16,49.63,46.9,47.85,47.82,44.9,71.88,57.57,39.24,41.92,47.35
country/region,Republic of Korea,retail_and_recreation_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-11,-7,-1,-5,-7,-15,-26,-31,-21,-33,-29,-30,-37,-38,-41,-23,-24,-30,-28,-27,-32,-27,-19,-27,-22,-23,-24,-25,-28,-17,-19,-19,-28,-20,-21,-20,-15,-16,-18,-25,-23,-23,-19,-13,-11,-18,-18,-18,-19,-17,-12,-12,-16,-18,-16,-16,-20,-9,-4,-3,-17,-23,-13,-24,-12,-13,-18,-16,-14,-12,-6,-6,-5,-2,6,0,-9,-5,15,13,-10,-7,-5,-18,-6,-3,-4,-7,-8,-17,-8,-1,-9,-6,-4,-5,-7,-3,-3,1,-3,-3,-7,-7,-7,-3,0,-6,-6,-8,-6,-7,-2,-1,-2,-9,-6,-7,-6,-4,2,-1,-5,-9,-6,-5,-3,-1,-1,-15,-10,-4,-3,-1,-5,-4,-5,-6,-8,-6,-3,-2,-1,-5,-7,-10,-5,-10,,
country/region,Republic of Korea,grocery_and_pharmacy_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-6,-3,-1,-3,-4,-6,-18,6,-13,-7,-10,-17,-10,-8,-1,-7,-10,-11,-8,-7,-14,1,-11,-3,-5,-5,1,1,1,-5,-1,-13,-2,4,-8,6,0,1,-8,-4,2,11,4,2,0,-2,1,5,14,6,2,0,-2,2,10,-10,10,9,23,-2,-7,8,1,5,-1,-3,-2,2,9,1,11,8,17,29,22,10,19,30,23,9,7,8,-2,1,14,7,8,7,-3,12,25,4,7,12,7,8,14,4,18,8,11,7,9,11,21,16,7,11,6,10,13,24,15,9,4,7,7,10,0,18,10,10,1,9,10,20,13,9,-4,2,9,11,0,8,6,10,5,5,10,20,11,8,5,3,3,11,-8,,
country/region,Republic of Korea,parks_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-31,-17,-5,14,7,-10,-32,-12,6,-38,5,1,-38,-13,-17,10,2,-7,-2,1,-16,34,16,-32,23,19,2,4,-3,23,12,47,-18,17,31,52,47,40,61,3,4,16,51,60,54,44,44,36,25,46,48,40,47,31,22,17,8,45,51,124,33,-19,40,-20,19,6,6,10,10,21,56,40,41,62,158,123,60,39,95,114,48,36,19,-36,34,44,35,58,42,-23,26,56,12,14,59,44,34,55,42,57,32,64,43,39,47,44,56,29,54,35,37,49,47,49,36,26,30,25,13,28,55,43,52,18,36,44,43,49,41,-2,4,34,41,43,18,8,56,41,23,44,49,48,43,55,32,18,41,12,,
country/region,Republic of Korea,transit_stations_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,-15,-6,-3,-4,-6,-10,-24,-25,-15,-26,-22,-24,-30,-32,-36,-20,-21,-25,-25,-22,-29,-24,-17,-25,-18,-20,-20,-22,-29,-16,-17,-16,-25,-17,-18,-17,-13,-13,-14,-21,-20,-20,-17,-12,-10,-15,-15,-13,-16,-14,-9,-10,-13,-14,-12,-13,-20,-9,-4,-16,-13,-20,-10,-24,-11,-11,-15,-14,-10,-10,-5,-6,-3,2,-6,-10,-4,-2,1,-14,-4,-4,-1,-20,-4,-2,-3,-4,-6,-15,-8,-2,-9,-8,-3,-5,-4,-2,-5,-1,-3,-2,-5,-3,-5,-4,-1,-4,-3,-5,-2,-7,-3,-1,-2,-5,-7,-5,-11,-9,-1,-1,-3,-9,-3,-5,-4,-2,-1,-12,-10,-3,-5,-4,-5,-7,-4,-6,-5,-7,-5,-3,-2,-5,-7,-8,-7,-12,,
country/region,Republic of Korea,workplaces_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-3,0,2,1,1,0,-4,-9,-6,-10,-11,-10,-12,-10,-16,-8,-9,-11,-9,-9,-8,-14,-6,-9,-8,-7,-7,-5,-12,-6,-6,-7,-7,-6,-5,-12,-5,-6,-8,-7,-8,-7,-12,-6,-5,-8,-6,-6,-8,-13,-3,-4,-6,-4,-5,-7,-13,-3,-3,-50,-4,-6,-4,-12,-2,-2,-4,-2,-2,-4,-8,-1,-1,-3,-54,-46,-15,-9,-18,-56,-1,-1,-1,-7,-5,0,-1,-2,-2,-5,-4,-4,-2,-2,-3,-2,-2,-2,-6,-1,-1,-2,-1,-1,-3,-4,0,0,-1,0,-2,-15,-5,1,1,-1,0,-1,-6,-7,2,2,0,0,-1,-5,-6,0,1,-1,0,0,-6,-7,1,1,0,1,-1,-6,-7,0,1,0,0,-1,-6,-10,,
country/region,Republic of Korea,residential_percent_change_from_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,2,2,2,5,9,8,8,10,9,9,13,12,11,9,8,10,9,10,11,9,8,9,8,8,9,9,9,8,6,7,9,8,7,7,7,5,7,8,10,8,6,7,5,7,7,7,7,6,6,5,6,6,7,6,7,6,2,17,6,9,6,7,6,4,6,5,6,5,3,4,1,-2,11,13,2,1,5,14,3,2,3,7,3,3,2,3,2,5,4,2,5,3,2,2,3,2,3,3,1,1,2,2,2,2,2,1,2,2,2,3,1,1,0,2,2,2,4,3,1,0,1,2,1,1,1,1,-1,3,3,1,1,1,2,2,1,1,2,2,1,2,0,1,1,3,2,3,,
