"","ZA.cases","ZA.residential","ZA.workplaces","ZA.transit","ZA.grocery"
"ZA.cases_lag1",-0.256035956150169,1.28039900385415e-05,5.80389899621326e-05,-1.01974899274697e-05,-3.2160076651427e-06
"ZA.residential_lag1",-1.41870582184624,-0.165096161222743,0.0153527333604001,0.0166820854243344,0.0699907284157324
"ZA.workplaces_lag1",0.966032146320698,0.00237856033044771,-0.114257176807221,-0.0149342772783766,-0.026179933336945
"ZA.transit_lag1",-0.244921882686376,-0.0669318815430926,0.00587663717164498,-0.036825561980136,0.00695563219196349
"ZA.grocery_lag1",0.497981274153918,0.000650671831374905,-0.00114308968564747,0.0160127700988541,-0.00325376917862684
"ZA.cases_lag2",-0.00462488407379027,6.3695385618893e-06,-3.30824140669414e-07,-1.38348504549242e-05,5.87947862660523e-05
"ZA.residential_lag2",0.998367162211141,-0.179681146470104,0.0745747380467267,-0.00624176339935173,0.0512065474339913
"ZA.workplaces_lag2",1.22094651530262,-0.00526279796230965,-0.0345065389722469,0.0149572243148901,-0.0168971682556222
"ZA.transit_lag2",-0.754812276022429,-0.00121871782356438,-0.000364999525925291,-0.000542881336499448,0.157572366431932
"ZA.grocery_lag2",0.234669853764558,0.00156186918923773,0.0149026161107514,-0.000412817409880941,-0.00201634017007372
"ZA.cases_lag3",-0.00525045283799631,-6.44003685304202e-06,-1.80043043203902e-05,3.69735764259554e-05,-2.1835902194356e-05
"ZA.residential_lag3",-2.50523208041979,0.00205106879449396,0.0271637347400865,-0.00432325597732767,0.0110388322359281
"ZA.workplaces_lag3",-0.128234128094231,0.0691085758004783,-0.0860173936162836,-0.00886071236790847,-0.0218788253779927
"ZA.transit_lag3",-0.768107315880335,-0.00109501337075795,0.0269195083690597,0.00743205719651013,-0.000347747002863611
"ZA.grocery_lag3",-0.0673036138694154,0.00132584726384341,0.0023370004072461,0.0026593267528537,-0.00498021801303303
"ZA.cases_lag4",0.000505366194232784,6.31999300508813e-05,4.419941623923e-05,-0.000343586418929793,-4.14111265471167e-05
"ZA.residential_lag4",2.18456040562026,-0.0227135813735036,0.0152478056782754,-0.0133846522597091,-0.0278816479101307
"ZA.workplaces_lag4",1.2943204597854,-0.000165046264183323,-0.00756494143815611,0.0457441669561764,0.0250113632968287
"ZA.transit_lag4",-0.171533932863023,0.000501114243632073,-0.0209019337259366,-0.00164239838383259,-0.0249483506587946
"ZA.grocery_lag4",0.539374908640506,-0.000575377867031172,-0.00224357726978211,-0.00109282422507805,-0.0167465945094527
"ZA.cases_lag5",0.000575144149330367,-1.50824096281886e-05,-1.71711755333775e-05,-9.08253150649986e-05,-5.85181892036653e-05
"ZA.residential_lag5",1.04694528107719,-0.000465364029983564,0.190284527478593,0.0175371728918555,-0.00768188524111107
"ZA.workplaces_lag5",0.0325566550509899,0.0625900704348472,-0.0310025998467482,-0.00719490383778847,0.0103846937187178
"ZA.transit_lag5",0.114632834145194,0.00347138757513411,0.0271475898677516,0.00495878360656636,0.00216049284460023
"ZA.grocery_lag5",0.303820610711486,-0.0331321465725167,0.00175972983546539,0.00606979347330208,0.00232112191622471
"ZA.cases_lag6",0.120023057914403,3.59545283222361e-05,2.8156437187065e-05,1.4762899487997e-05,7.75769287601442e-05
"ZA.residential_lag6",0.841352587096172,0.00762752617213907,0.0188509324527381,0.0260631069860702,-0.0132943485226985
"ZA.workplaces_lag6",0.41469811054528,0.000294462130477271,-0.00137356804794211,0.112233700112561,0.0454144440242559
"ZA.transit_lag6",0.24965267277357,-0.00172790113615996,-0.00588607183940837,-0.11509086873899,-0.0664317131226485
"ZA.grocery_lag6",-0.322540559131835,-0.000673749844492111,-0.0236140755796047,-0.00148834717321118,0.00782603993562084
"ZA.cases_lag7",0.306932570384351,-2.96885636724461e-05,-8.65366035346657e-05,2.25535086498923e-06,-5.74126166178983e-05
"ZA.residential_lag7",-0.107487242568239,0.629359950188058,-0.00891759965288653,-0.00203286582144638,-0.00114075247115593
"ZA.workplaces_lag7",0.455477322385427,-0.00897546382291016,0.791136392163932,-0.0181399799559302,-0.00951316916246238
"ZA.transit_lag7",-0.394716167399721,0.00077727477164625,-0.209652925528622,0.500253228942032,0.00988293759556442
"ZA.grocery_lag7",0.175555313351939,0.117693210797383,-0.120461928362633,-0.158482933510546,0.0120616364900882
"cases*",0.0208920208816847,-2.2145915193718e-05,-5.41679781274162e-05,3.33782141947113e-05,-9.96441502950612e-05
"cases*_lag1",0.0267143666494092,-4.70932207683585e-05,-1.64872320838363e-05,-4.31219392738724e-05,4.18477772180585e-05
"cases*_lag2",0.0240870612880911,6.51033023152158e-05,1.17116362586121e-05,9.61941599855877e-05,9.10390906431043e-05
"cases*_lag3",-0.0111538728337986,3.4782163081381e-05,0.000275524510697726,8.91773752937776e-06,-0.000145913894795569
"cases*_lag4",-0.0113288809318263,-5.26406986942362e-05,0.000900740150580922,-2.05198054050342e-05,-7.32887478722712e-05
"sd",0.390151821814559,0.0982950684298064,0.0838028326872055,-0.0772255980265679,0.307241817546751
"cons",-1.42953495121699,-0.0329723343757037,-0.00859605179130619,-0.0169400740300392,0.0423665293015484
