"","US.cases","US.residential","US.workplaces","US.transit","US.grocery"
"US.cases_lag1",-0.148144243163006,5.35411618123951e-07,3.79259688093312e-06,8.3724759724609e-05,-1.38146788664322e-06
"US.residential_lag1",26.4953032130914,-0.524054930659185,0.00444661650021752,0.0200372607987789,0.0333067061935787
"US.workplaces_lag1",-7.01982765441391,-0.0504878382395668,-0.0799608583203252,-0.00745819067657342,-0.201013800428688
"US.transit_lag1",-3.75630896896652,-0.0880284850927938,0.0115376046684622,-0.00915525528637507,0.300430205502379
"US.grocery_lag1",-3.25969000958579,0.00160198890281936,-0.000780750733065333,-0.0120188483610035,-0.219144653276215
"US.cases_lag2",-0.00081480834784913,-1.77313002688742e-06,1.45133562482825e-05,3.42239454574626e-06,-2.55411231395562e-07
"US.residential_lag2",-21.8957976949353,-0.445633625859144,-0.0113322026621947,-0.00296905732747207,-0.0234053344838582
"US.workplaces_lag2",0.224284036990496,-0.000884052607131291,-0.0252761875946184,-0.00246082012685297,0.00682250201386474
"US.transit_lag2",2.16295961499062,-0.132269002708977,-0.0166169238515267,-0.0106977221263154,0.00751307850692045
"US.grocery_lag2",-2.89285027230744,0.000823172941069636,-0.00430176721127538,-0.0718039330074754,-0.00225414438142962
"US.cases_lag3",0.00264826911725676,1.98367701079464e-07,-3.03731525481058e-06,-3.6247595794653e-06,7.08390483565787e-06
"US.residential_lag3",8.04086768990681,-0.430786728206213,0.0183023072336926,-0.00711005282952966,0.0538214407366221
"US.workplaces_lag3",1.09445344125316,-0.00131211459656949,-0.0273980559320641,-0.000580235951930223,-0.0241208308770942
"US.transit_lag3",-5.03716384668997,-0.128991863373883,0.0124809774832083,-0.00935218748028607,0.0510749103196112
"US.grocery_lag3",-1.17743933079204,-0.00113534365865735,-0.00408393784147236,-0.00318589744610616,-0.00265609417414385
"US.cases_lag4",-0.0303916582839489,1.93583137470915e-08,-4.47349911917039e-06,1.78538552971756e-06,-1.95297642470638e-06
"US.residential_lag4",8.9438967081292,-0.444335375248058,0.0172696386946308,-0.00945523819595066,-0.0297229036211267
"US.workplaces_lag4",-0.55642445921098,0.0017739689583407,-0.0175535753951199,0.00337298271193656,0.00897748132892342
"US.transit_lag4",6.98325983652348,-0.145877861029932,-0.0167647612906373,0.00159146227413364,0.0206293992978447
"US.grocery_lag4",1.83456789893802,0.00110540150747669,-0.000208005874060675,-0.00124112793186026,0.00558145169092321
"US.cases_lag5",-0.00189661988176379,2.11573321775731e-06,-7.15123277154631e-06,-9.02730125607102e-05,-1.06949253035234e-06
"US.residential_lag5",-3.18385595491235,-0.505453600636241,-0.000258893032121369,0.0222705239378511,-0.00324591949251628
"US.workplaces_lag5",0.59157201456982,-0.000564306161439291,-0.0471016473162798,-0.00237729290915202,-0.000524909930162685
"US.transit_lag5",-3.22915972852833,-0.204565999488545,-0.000808324743511032,-0.00336840588705128,0.00389294379872261
"US.grocery_lag5",-3.45568173466194,-0.00301789939520964,-0.0123003884551184,0.00320814050755525,0.00786731857748176
"US.cases_lag6",0.28847080547591,2.97859978914389e-06,3.96005463770756e-06,-1.46976482792721e-06,-3.24152767279255e-08
"US.residential_lag6",-4.23740352658285,-0.304541425861142,0.000163710720180014,-0.0112712901147089,-0.0065379234010304
"US.workplaces_lag6",-0.893697368318538,0.0015514116317078,-0.0251890067695857,0.000415168196229891,-0.00660621551321195
"US.transit_lag6",-3.94780201312079,-0.0638667725857514,-0.00485487037010956,0.00848060363130073,0.00723292888848617
"US.grocery_lag6",-1.77479348635919,-0.0634482033715755,-0.00669129780196913,0.00315744104659407,-0.0109587680818092
"US.cases_lag7",0.350748514852389,9.64206426436665e-07,-2.60074992211493e-06,-1.28577402565093e-07,-3.01393570817637e-07
"US.residential_lag7",10.4305497049521,0.39936005069559,-0.288071310325899,-0.00755238352164097,-0.0196284715439397
"US.workplaces_lag7",-1.81596103599062,-0.0929481494500908,0.821317500941761,0.163417107649629,0.002254454390291
"US.transit_lag7",7.89110126929509,-0.00101849839452687,-0.00544997223348781,0.374950643952683,0.0124559018348089
"US.grocery_lag7",3.53635006192297,0.00768000067572786,-0.00537941937581547,0.00109721911649452,0.145002883411573
"cases*",2.39495126974134,-5.92268589781241e-05,-6.12342616979358e-05,7.85385644486413e-06,-4.78924732156253e-05
"cases*_lag1",3.09801586574357,-1.52033478869206e-05,0.000104740392289454,3.71637644922156e-05,-6.38104649098118e-05
"cases*_lag2",0.100713238154323,-4.66381052714105e-05,0.000168195372969277,8.10055121772131e-05,8.0664212515469e-05
"cases*_lag3",0.999269055645376,-2.43802764288698e-05,4.11086205144503e-05,0.000636038140583592,-0.000164100707313569
"cases*_lag4",-0.0226093028906033,-3.14855346827511e-06,7.52051494293367e-05,0.000518218080534067,4.196256341829e-05
"sd",-16.6379482645071,0.0581515338519663,-0.0722788272131268,-0.013892896517893,-0.0169954004638665
"cons",-3.2456884099751,-0.0195261814685527,0.00283872328828083,0.000930886121566658,-0.00184650659339328
