"country","cases*","cases*_lag1","cases*_lag2","cases*_lag3","cases*_lag4","cases*_lag5","cases*_lag6","cases*_lag7","cases*_lag8","cases*_lag9"
"AE",-0.014942856173695,-0.000133881872263695,0.000876139072149677,0.000168627184597107,-0.0101667317794842,0.000773922359866066,0.0209102824384213,0.00178791519626214,-0.00149389274733006,-0.000519658658722823
"AR",0.0251606885074667,0.0123626561259169,-0.000145777958566106,-0.0000325107924635283,0.000169485455345398,-0.000230451432920392,0.000151118702997745,0.000922103514460798,-0.00000493070847755381,0.000283889100826114
"AU",0.00093447382400439,-0.000998057728158418,0.000764731550152545,0.00087109214648352,0.0011353671571754,0.00114726788066829,-0.0022402396685107,-0.00295378454395873,0.000929091854879513,-0.00124026538114296
"AT",0.00218891002274991,0.00135031204028917,0.000836524560187661,0.000410031218742978,-0.00136445145760931,-0.0017390786293099,0.00394110674875355,0.0000373649304201718,0.0019592844430685,0.0120471875497347
"BE",0.0391634096055765,0.073759355724857,0.128558315792484,0.104459151030043,0.00530015809788888,0.00597462665108443,-0.0032392315404579,0.0011157277281117,-0.000446250596889659,0.00659255442405569
"BG",0.000285428427831544,-0.00018124489465042,0.000960749381135324,0.000222142565294212,0.000434302264169778,0.000765575915416153,-0.00101026595271786,-0.000362900619817027,0.00189445403501716,-0.000390467869679551
"BR",0.222411711689204,-0.0548909786027763,0.0104888041610649,-0.00794000609042032,-0.0503077732099155,0.0796269229967918,0.0278860979544145,-0.0575227132586546,0.0553649456573253,0.0646315015606279
"CA",0.00109047391983355,0.000461209881241141,-0.000316895139064664,-0.000335413262620472,-0.000813365185559997,-0.000518484329016407,-0.000186579051097206,0.00128434174165722,0.00145984525172352,-0.0000933711042406847
"CL",-0.00651973814426227,-0.000528052556989845,0.01041879967697,0.00245946735645933,0.00661779755474781,-0.00113769702061043,0.00172753685268884,0.000153758943783854,-0.00314518965515458,-0.00389093424314563
"CO",0.0022573208216731,0.000396149143241681,0.00485021472211406,-0.00241851159417009,0.0013150514567291,-0.00136240145553454,0.00043509657864286,0.00131805358749013,0.00240031569861854,0.00224608826748516
"CZ",0.0439436166944277,0.00130784103136089,-0.019977065594799,0.00170462618175271,0.000131878347762206,0.000537096800453983,-0.000576524197292406,0.0236766743397861,0.0355271224623599,0.000660886557089369
"DE",0.247635170101971,0.25172224686946,0.0100264646184537,0.000472764506247576,-0.00797311325480287,-0.0064725035268899,0.000275924313966669,0.00176127806200941,0.000212004475510535,0.000498355342922106
"DK",0.0255489532567546,0.000441617554519179,0.000447545461059998,0.000875614739749106,-0.00051166028205019,0.000424312388164635,0.0347633915792895,0.00134410699864644,0.00725279953158446,0.000066098143621085
"EG",-0.00188896416456261,0.000970921738482476,-0.00324904709786682,0.0000852155319323231,-0.000425949663979558,0.0000930617673182096,0.00473846652924683,-0.0016652714529501,0.00133917986890467,-0.00175741742842303
"ES",0.409195054044141,0.404638006190696,0.00411303574585037,-0.00836592536204815,0.0140850583986268,0.026912603327412,-0.0976256856704156,-0.00348003182996505,0.00793199188026033,0.0111359013224389
"EE",-0.000325812011426169,0.000546511917070797,-0.000329616789640204,0.00158488181070083,0.0000981858501740052,-0.00103145670812368,-0.000372237211238349,0.000349090320037591,0.000806645705733103,-0.000266929624922763
"FI",0.0000413349288030864,0.000406968529766532,0.00113299242099253,-0.000174447541348485,0.00016494515823759,-0.001032754120114,0.0000811120966644899,0.000642918365142527,0.000186841339531201,0.000797477516985233
"FR",0.655154271878016,0.187752962797666,-0.0165918441488805,-0.0292725752381243,-0.00752916258162039,0.00888825802550359,-0.00137904667124815,0.0705532932838421,0.0441022219456092,0.00912338660698852
"GB",-0.000826684001051513,-0.00146029138318975,0.0855987581433081,0.00912120326713508,0.00573193744587565,-0.0384313320472003,-0.000017772428957793,0.00685016186220502,-0.0058526485948448,0.000488263954849016
"GR",0.000313078351921914,-0.0000562502472209221,0.000230445917650856,0.000872169940977504,-0.00045760696005872,0.00114282652296875,0.00022115452492774,0.0000523651392070463,0.00090088678485877,0.000755470580363625
"HR",0.00520091519334215,0.000164974798965562,0.00103692772872263,0.000331313029139083,0.000165247165345137,0.00054856247075968,0.00030281543441959,0.0004939168286794,0.000129156127962496,-0.000150977143498082
"HU",-0.0000957411300767245,0.000549592166845494,0.000239589679550829,0.00386136895723179,0.000557519264921762,0.000242866405692454,-0.00048089397170814,-0.000307055547685258,0.0000262035105859547,0.00854025255679691
"ID",-0.00292514475119905,-0.00907061356213978,-0.0011714194989654,-0.00634365032543193,0.0507167505836037,-0.0159551897649424,0.0250978010223654,-0.110678131257699,0.0149420189761365,-0.00779666709545814
"IN",-0.127094086979823,0.15306595139214,0.133020817658716,-0.0259116774565172,0.0348818907584128,-0.0476929450645848,-0.0200814635377883,0.376301986105808,-0.247057727629709,0.203931159181184
"IE",0.00072026847699369,0.00308178462105421,0.00239287592793777,0.00202478828783369,-0.000205352663599114,0.00149862943999159,-0.00172916077013075,0.000136014428022032,-0.00163446164498064,0.0020587261334141
"IL",0.00412217551857476,-0.000907374373388361,0.0102277395654495,-0.00298661963564563,0.00207190627000099,0.00151549976803656,0.00151682420317902,0.005901152454969,-0.00167797169290607,0.00053740161123666
"IT",0.000569259777189954,0.00291025429493077,0.000951935879839336,0.00211385023099007,-0.00551543039500547,-0.00294670314119809,0.00481514127867767,-0.00175154872270139,0.00160161549148921,0.00078613699634396
"JP",0.00411569842072867,0.000435459611815169,0.00258681479889238,0.00167784653516136,0.000259899776328681,0.0000666765425708379,0.00111505468637424,-0.000747130920928648,0.00526742007227749,0.00265227865350201
"KH",-0.0000320914126524733,-0.000081762641837909,-0.0000499091524810932,0.0000623661520075297,0.000151361661096472,-0.00000784087888556657,-0.000119311524794991,-0.00000656682779238764,0.000078081466280492,0.0000651731250986622
"KR",0.00235407763505625,-0.000314068103208967,-0.000394535845923883,-0.000753118812712414,-0.00099691382607381,-0.00101684174150279,-0.000602738198293591,0.00423281491487389,0.00163545180549524,-0.00240427956774625
"LT",0.000740721134271216,0.000197587263324856,0.00545364958558826,0.000333422190919712,0.00016006039907683,-0.000212771053207906,-0.0000742433208750974,0.000360039543381453,0.000144157898480446,0.00293584870727497
"LV",0.000098372371820801,0.000281628878382599,0.000048153414779463,0.0000256938173443714,0.00282606578785983,-0.000131815528474089,0.000294397126681705,0.0000130581287584481,-0.000142732265308934,0.0000166197188364883
"MA",0.000340581265821491,0.0011047990835104,-0.0000189401104787779,-0.000108749278482043,0.000436867371764194,0.00090223859677288,0.0000682520635392757,-0.0000780968333305365,0.000710415660641294,-0.000201620220054974
"MX",0.000480617611636244,0.000937293998147923,-0.000282989541937386,0.0000516613218415453,-0.000645156537219229,-0.000995331606005245,0.000975374358127633,-0.000247927238682015,0.00355833998989927,0.00116460234194399
"MY",0.000214355457532657,0.000235035458394128,0.000452419958171997,0.00162379451315515,-0.000908807742814324,-0.000926496891243919,0.00117056254884545,-0.0028352920276907,0.00142386019231577,-0.00119190012551154
"NL",-0.00253050890303457,0.00144263251063508,0.0213734795419998,0.000689205104693279,-0.000446483630847922,-0.00127055896406701,0.000149370276657971,0.00215930084256949,-0.000373645734767465,0.000121645437710331
"NZ",-0.00023980482435725,-0.00000608137705884405,-0.000127419162205753,-0.000105672165647247,0.000147231572623088,-0.000115141840435924,-0.0000735905923527098,0.000210465227455957,0.00015567292109119,-0.0000694595088651
"PH",0.0164305325419332,-0.0157985855390309,-0.0194204383985661,-0.00103500302954244,0.00361238493775345,-0.00576638147547591,0.0317017700459684,-0.0172704450273556,0.00898176235751941,-0.0428520273040846
"PT",0.0212299272638529,0.0353357861190422,0.0280152118517655,0.011815693820914,0.00112071451104482,-0.00258903716109069,-0.000428389159456624,-0.0003639092941568,0.00174779405218713,0.00499073260423208
