"","IT.cases","IT.residential","IT.workplaces","IT.transit","IT.grocery"
"IT.cases_lag1",-0.241316566317537,2.39910605455018e-05,-5.7747335320104e-06,-0.000124723707025028,-8.32768314858817e-05
"IT.residential_lag1",0.919323860260108,-0.0195616291800908,0.0106377503948288,0.0112362556908652,1.41792171112013
"IT.workplaces_lag1",-0.0134705564583549,0.000518365769070073,-0.0223057551340093,-0.000665697797842612,-0.14539793018771
"IT.transit_lag1",0.605020931099995,-0.00298548708877049,0.000725899852744544,-0.00513381832457144,0.771374873913262
"IT.grocery_lag1",0.141878272447757,-0.00123594706889349,-0.0545523195609579,-0.0821488574643802,-0.43964992652433
"IT.cases_lag2",0.000373337636932716,-1.72966547048974e-05,-3.88859646621399e-05,1.7238637518333e-05,-0.000161707852070413
"IT.residential_lag2",1.27908151611713,0.00239316623490713,0.00771436961877689,-0.0142552985537035,-0.0475567443085174
"IT.workplaces_lag2",0.0130952738302923,0.000283423042647853,-0.00563896229715804,0.00134924950544163,0.00499480937147325
"IT.transit_lag2",-0.130627564840593,-0.00246006328073404,-0.0217129196162986,0.00673052107670846,-0.000385968136910315
"IT.grocery_lag2",3.46382435807531,0.000742604867367814,-0.00239372142938583,-0.0983052160711189,-0.0457208906751623
"IT.cases_lag3",-0.00324091932969538,-9.45367046817959e-05,-0.000641688483966061,-2.56047723956809e-05,-0.000399052774395851
"IT.residential_lag3",0.868500011530628,-0.024414950249814,-0.00417814966905646,0.000144945489795422,-0.0576689328732004
"IT.workplaces_lag3",-0.652601145520039,0.00152189306126859,0.0010261057133755,-0.00623298144534972,-0.00371325894124435
"IT.transit_lag3",-0.623285781301667,0.00277688788898797,0.00529679916000452,-0.00369016657605798,0.00787121525871648
"IT.grocery_lag3",0.0158061557912047,-0.000878184716117963,0.000669957847558853,-0.0657448561208551,-0.00616189438010256
"IT.cases_lag4",0.00181078779455206,1.98810626791425e-05,0.000169666794473755,-3.43868056094755e-05,8.21510277355858e-05
"IT.residential_lag4",-0.206574988649022,0.00376781767754847,0.00129806750777965,-0.00660598842962104,-0.0052178893450524
"IT.workplaces_lag4",-0.323530412349998,0.000914109349311003,0.00283239101248248,0.00909238890676043,0.00545076920581042
"IT.transit_lag4",-0.394247859722452,0.000537947437988928,-0.032765477559651,0.00479702849925994,0.00127796117205767
"IT.grocery_lag4",0.00232489304064385,0.00120064268107093,-0.00555931812614987,-0.0965170119328946,0.00380125759631741
"IT.cases_lag5",-0.00156802581887435,0.00123873202979138,9.97392369913738e-08,-3.14135108363369e-05,-0.000107982828328224
"IT.residential_lag5",-0.147121260707969,-0.0879501338950132,-0.0149626631772552,0.00597756229201976,-0.0572253044549042
"IT.workplaces_lag5",0.46360941456711,-0.000165238031297115,0.00392796889346314,-0.00192738522706669,0.00788758915703181
"IT.transit_lag5",0.393130196636336,0.00110660197022065,-0.00154457654635708,-0.00119866447285842,0.0114471334413705
"IT.grocery_lag5",0.0311383077762192,-0.0180780791236481,0.0055619602648377,-0.00231195072825534,0.00162624341312956
"IT.cases_lag6",0.211759418651447,-3.57674774611858e-05,-2.6184960306188e-05,-1.13952585731305e-05,-2.28610456146403e-05
"IT.residential_lag6",-0.763286630085062,-0.00275146903095122,-0.378097405997083,-0.00435509777550507,-0.0236967348366015
"IT.workplaces_lag6",0.0572338575103008,-0.0254596120736911,-0.00669755813090768,0.229659185505507,0.204760802272024
"IT.transit_lag6",-0.608794927940027,0.00087489808701658,-0.287423544638155,-0.000638489031448404,-0.232230362677145
"IT.grocery_lag6",-0.319562990509353,0.00646899812383026,-0.0123660638173728,-0.137178791231589,-0.00209299730440109
"IT.cases_lag7",0.256646156059151,-3.70071758112109e-05,-3.0118041778481e-05,9.32924372522011e-06,5.65516780340739e-05
"IT.residential_lag7",-0.0533468780700401,0.281262900272461,0.716391735550502,1.16175117717451,1.13789913243872
"IT.workplaces_lag7",-0.198241564433294,-0.133236203702305,0.965487937444811,0.603731673013152,0.00399558740012305
"IT.transit_lag7",-0.362422114154883,-0.000256127267073856,0.200347768210816,0.325423954653658,0.00671244082541263
"IT.grocery_lag7",-0.30128551038173,0.101802394019819,-0.331091927394848,-0.134849181682368,0.31961932621723
"cases*",0.000485083038702248,7.56246375505746e-06,-3.20815826286331e-05,-8.46216939632148e-06,0.00031375208891759
"cases*_lag1",0.00329301330015462,9.48325662219099e-06,7.47383583803864e-05,-0.00102346019803887,-0.000166300447927845
"cases*_lag2",-0.00340670705811297,-3.0325946171272e-05,-6.9686587554643e-05,2.61410636917533e-05,-0.000164836220276667
"cases*_lag3",0.00376035780024298,-3.50285180662743e-05,-0.00024565173422207,7.50388205901545e-05,-6.97027184576766e-05
"cases*_lag4",-0.0327918690499946,2.99591016121032e-05,-5.22271068522377e-07,-7.32271498275539e-06,1.25936723124371e-05
"sd",-111.849958800316,0.000971120315719303,0.031380355228998,-0.0937836361869076,3.11089668263245
"cons",0.746843048175326,-0.00484462633209208,0.00617785250758079,0.0684223850160069,0.0976262935285333
